"sp","sex"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","M"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"B","F"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","M"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
"O","F"
